transaction_id,customer_id,transaction_amount,currency,country,transaction_date,payment_method,fraud_flag
1,1009,887.8645582649369,EUR,India,2023-01-01,Debit Card,0
2,1004,4512.412095242473,BRL,USA,2023-01-02,Bank Transfer,0
3,1086,4192.531534186741,USD,Germany,2023-01-03,Bank Transfer,0
4,1065,3324.438685129742,INR,USA,2023-01-04,Debit Card,0
5,1064,3399.618783916526,INR,Nigeria,2023-01-05,Credit Card,0
6,1099,3280.829714654872,EUR,India,2023-01-06,Bank Transfer,0
7,1036,752.4981923913347,INR,India,2023-01-07,PayPal,0
8,1077,3297.6474454287813,INR,Nigeria,2023-01-08,Bank Transfer,0
9,1029,1703.948594488876,EUR,Brazil,2023-01-09,Debit Card,0
10,1007,3062.8101059056567,BRL,Brazil,2023-01-10,PayPal,0
11,1086,3267.725388295156,INR,USA,2023-01-11,PayPal,0
12,1029,1375.9175669791045,NGN,Brazil,2023-01-12,Credit Card,0
13,1040,173.01608818811187,EUR,India,2023-01-13,Debit Card,0
14,1002,4724.576264503778,USD,Germany,2023-01-14,Debit Card,0
15,1064,479.3460331163925,BRL,Germany,2023-01-15,Credit Card,0
16,1031,3808.842264283047,NGN,Germany,2023-01-16,Crypto,0
17,1016,3661.199379723169,INR,Nigeria,2023-01-17,PayPal,0
18,1097,4134.452288758188,EUR,USA,2023-01-18,PayPal,0
19,1036,4511.213344196373,BRL,Nigeria,2023-01-19,Bank Transfer,0
20,1012,2882.030407900403,BRL,Nigeria,2023-01-20,Crypto,0
21,1073,1952.8900640165239,BRL,Brazil,2023-01-21,Bank Transfer,0
22,1096,178.06566599153132,BRL,USA,2023-01-22,Debit Card,0
23,1068,1061.8005861973475,NGN,Brazil,2023-01-23,Crypto,0
24,1053,3406.330009138324,BRL,Brazil,2023-01-24,Debit Card,1
25,1055,797.02022813829,EUR,India,2023-01-25,Crypto,0
26,1024,4037.566030990296,BRL,Nigeria,2023-01-26,Debit Card,0
27,1007,3820.381583914556,INR,USA,2023-01-27,Bank Transfer,0
28,1083,1578.892028581637,BRL,Nigeria,2023-01-28,Credit Card,0
29,1033,4150.74048314884,INR,Germany,2023-01-29,Crypto,0
30,1016,1101.8452425184282,INR,Nigeria,2023-01-30,Bank Transfer,0
31,1041,534.1211267921957,USD,USA,2023-01-31,Bank Transfer,0
32,1054,4780.912806937748,NGN,India,2023-02-01,Crypto,0
33,1073,4629.45187285972,BRL,India,2023-02-02,Crypto,0
34,1036,1362.450869904601,USD,India,2023-02-03,Crypto,0
35,1059,1244.2389344809558,BRL,Nigeria,2023-02-04,Debit Card,0
36,1056,1271.5845529611875,EUR,Nigeria,2023-02-05,Credit Card,0
37,1032,3657.632530034701,BRL,USA,2023-02-06,Credit Card,0
38,1030,2098.0944817125455,INR,Germany,2023-02-07,Crypto,1
39,1097,1383.5421958750455,EUR,India,2023-02-08,Debit Card,0
40,1001,3030.3300597148927,USD,USA,2023-02-09,Credit Card,0
41,1033,1566.871733360738,NGN,USA,2023-02-10,Crypto,0
42,1041,3853.276895691824,EUR,Nigeria,2023-02-11,Debit Card,0
43,1054,1622.0032235712554,NGN,Brazil,2023-02-12,Debit Card,0
44,1034,2636.088486378414,INR,USA,2023-02-13,Bank Transfer,0
45,1015,2907.2020557751434,EUR,Germany,2023-02-14,Bank Transfer,0
46,1064,2468.907679422938,INR,Germany,2023-02-15,Crypto,0
47,1019,2019.162441023609,USD,India,2023-02-16,PayPal,0
48,1050,1602.7716872931485,EUR,Nigeria,2023-02-17,Bank Transfer,0
49,1036,2185.8189795559506,INR,USA,2023-02-18,Bank Transfer,0
50,1063,72.20650320747956,USD,Germany,2023-02-19,Bank Transfer,0
51,1081,2681.0200851688114,BRL,Nigeria,2023-02-20,Crypto,0
52,1021,499.38418580204626,USD,Brazil,2023-02-21,Debit Card,0
53,1068,1512.819832585791,USD,Nigeria,2023-02-22,PayPal,0
54,1021,40.91178398762047,USD,India,2023-02-23,Bank Transfer,0
55,1083,2703.159664870057,EUR,Brazil,2023-02-24,PayPal,0
56,1088,732.2793377679238,USD,Brazil,2023-02-25,Credit Card,0
57,1075,3345.0838943241274,INR,Germany,2023-02-26,Crypto,0
58,1016,1537.8848587306127,EUR,Brazil,2023-02-27,PayPal,0
59,1049,2780.6012732383997,NGN,Nigeria,2023-02-28,Debit Card,0
60,1002,2400.071049983054,BRL,Brazil,2023-03-01,PayPal,0
61,1049,486.10810037766134,EUR,USA,2023-03-02,Credit Card,0
62,1034,1483.2716472771908,EUR,India,2023-03-03,Debit Card,0
63,1062,2057.383128761153,NGN,USA,2023-03-04,PayPal,1
64,1090,1171.1880525439262,BRL,India,2023-03-05,PayPal,0
65,1014,1851.0743046117402,NGN,Germany,2023-03-06,PayPal,0
66,1073,3531.9459253390237,INR,Brazil,2023-03-07,Credit Card,0
67,1016,1138.7542211260989,EUR,Nigeria,2023-03-08,Crypto,0
68,1027,3236.2556148555927,INR,India,2023-03-09,Credit Card,0
69,1068,4203.773275570121,BRL,USA,2023-03-10,PayPal,1
70,1096,448.65864361162073,NGN,Nigeria,2023-03-11,Debit Card,0
71,1033,686.7379095951449,NGN,Germany,2023-03-12,PayPal,0
72,1048,1917.3134305002666,INR,India,2023-03-13,Credit Card,0
73,1090,1588.1591182706281,NGN,USA,2023-03-14,Debit Card,0
74,1005,3871.7021309789457,NGN,India,2023-03-15,Crypto,0
75,1097,3199.4909904870747,BRL,Brazil,2023-03-16,Bank Transfer,0
76,1015,3416.31692603217,USD,USA,2023-03-17,PayPal,0
77,1049,3212.3567399596595,EUR,Nigeria,2023-03-18,Credit Card,0
78,1091,784.6079963404553,NGN,India,2023-03-19,Crypto,0
79,1053,3237.4558171733447,INR,Germany,2023-03-20,Bank Transfer,1
80,1049,563.1856627772476,NGN,India,2023-03-21,PayPal,0
81,1095,2115.531249950381,NGN,USA,2023-03-22,Credit Card,0
82,1052,3547.1809778438833,USD,Germany,2023-03-23,Credit Card,0
83,1021,4456.883150186473,INR,USA,2023-03-24,Bank Transfer,0
84,1016,838.4636096386863,INR,USA,2023-03-25,Bank Transfer,0
85,1038,2558.4481501200758,EUR,Germany,2023-03-26,Debit Card,0
86,1042,1780.3280344107975,INR,Brazil,2023-03-27,Bank Transfer,0
87,1019,731.1269693152018,NGN,USA,2023-03-28,Crypto,1
88,1052,2853.3499133679925,INR,Germany,2023-03-29,PayPal,0
89,1042,1702.990855170778,USD,USA,2023-03-30,Debit Card,0
90,1037,69.31923778712256,EUR,Nigeria,2023-03-31,Crypto,0
91,1001,2610.491692956498,EUR,Germany,2023-04-01,Debit Card,0
92,1068,1652.081508166262,USD,USA,2023-04-02,Credit Card,0
93,1096,2349.4123381801264,USD,India,2023-04-03,Credit Card,0
94,1094,4619.687891557832,INR,USA,2023-04-04,Credit Card,0
95,1038,2318.6207520694306,NGN,Nigeria,2023-04-05,Bank Transfer,0
96,1047,654.2523038224228,INR,USA,2023-04-06,PayPal,0
97,1014,1344.94614754499,USD,Brazil,2023-04-07,Crypto,0
98,1080,3561.445870283126,INR,India,2023-04-08,Crypto,1
99,1058,2514.9565050911324,BRL,Brazil,2023-04-09,Debit Card,0
100,1066,2407.3353031275533,BRL,India,2023-04-10,PayPal,0
