transaction_id,customer_id,transaction_amount,currency,country,transaction_date,payment_method,fraud_flag
1,1072,136.97706287889343,NGN,Germany,2023-01-01,Bank Transfer,0
2,1070,663.49660118069,EUR,USA,2023-01-02,Crypto,1
3,1068,1758.062874807257,INR,India,2023-01-03,Bank Transfer,0
4,1046,1287.6502263460445,BRL,USA,2023-01-04,Crypto,0
5,1081,406.6822470754194,EUR,USA,2023-01-05,Credit Card,1
6,1023,1350.429496175002,NGN,Germany,2023-01-06,Debit Card,0
7,1009,4443.708064167392,BRL,Germany,2023-01-07,Bank Transfer,0
8,1043,2715.401048395343,EUR,India,2023-01-08,Debit Card,0
9,1005,4010.3408285022315,INR,Brazil,2023-01-09,Crypto,1
10,1073,1682.269924930562,EUR,India,2023-01-10,Credit Card,0
11,1055,4831.708063006794,USD,Nigeria,2023-01-11,Debit Card,0
12,1058,3420.3283553282945,EUR,Brazil,2023-01-12,PayPal,0
13,1087,1054.1297439677767,INR,Nigeria,2023-01-13,PayPal,0
14,1015,4515.416144470872,EUR,Germany,2023-01-14,Debit Card,0
15,1075,4464.860458817395,USD,USA,2023-01-15,Bank Transfer,0
16,1086,4483.687750098209,EUR,Germany,2023-01-16,Bank Transfer,0
17,1014,4323.131745717724,EUR,USA,2023-01-17,Crypto,0
18,1044,2710.893557684926,USD,India,2023-01-18,PayPal,0
19,1018,4889.697064000584,USD,USA,2023-01-19,Bank Transfer,0
20,1079,3446.5049577476966,EUR,Brazil,2023-01-20,Crypto,0
21,1079,3328.088289451864,INR,India,2023-01-21,PayPal,0
22,1028,810.2837438796141,BRL,Nigeria,2023-01-22,Crypto,0
23,1028,2187.481541473887,BRL,Nigeria,2023-01-23,Credit Card,0
24,1004,60.509117874957084,USD,India,2023-01-24,Debit Card,0
25,1035,2956.869541499582,BRL,India,2023-01-25,PayPal,0
26,1021,1373.8929976463803,BRL,Germany,2023-01-26,Credit Card,0
27,1044,822.770917312186,EUR,Brazil,2023-01-27,PayPal,0
