transaction_id,customer_id,transaction_amount,currency,country,transaction_date,payment_method,fraud_flag
1,1046,557.4573478087756,USD,India,2023-01-01,Debit Card,0
2,1065,2060.618405437165,EUR,Nigeria,2023-01-02,Bank Transfer,0
3,1003,2116.5546066866073,USD,Germany,2023-01-03,Credit Card,1
4,1015,885.397221433062,INR,Nigeria,2023-01-04,Credit Card,0
5,1056,1127.791375922284,NGN,India,2023-01-05,Debit Card,0
6,1096,1304.6252607277845,NGN,Germany,2023-01-06,Credit Card,0
7,1039,1600.9622919905423,BRL,USA,2023-01-07,Credit Card,0
8,1094,3011.5725888071065,BRL,Germany,2023-01-08,Debit Card,0
9,1000,2364.7731596288118,EUR,India,2023-01-09,Debit Card,0
10,1061,928.4379702858795,INR,Nigeria,2023-01-10,Bank Transfer,0
11,1056,1040.8267709001034,NGN,Germany,2023-01-11,PayPal,0
12,1086,4092.9290426390307,INR,USA,2023-01-12,Crypto,0
13,1014,201.21367898614764,INR,Germany,2023-01-13,Debit Card,0
14,1095,1055.8841533165335,EUR,Nigeria,2023-01-14,Bank Transfer,0
15,1014,3265.9503765141676,USD,Nigeria,2023-01-15,Crypto,0
16,1099,4732.570192355394,INR,Nigeria,2023-01-16,Credit Card,0
17,1082,2498.6927729665704,INR,USA,2023-01-17,Credit Card,0
18,1001,916.1067618933623,INR,India,2023-01-18,Debit Card,0
19,1092,4629.650806170104,USD,India,2023-01-19,Debit Card,0
20,1091,652.8885566719874,BRL,India,2023-01-20,Crypto,0
21,1062,2514.5251809162814,USD,USA,2023-01-21,Credit Card,0
22,1089,698.1233375531332,EUR,Germany,2023-01-22,PayPal,0
23,1081,4285.75952260461,BRL,Brazil,2023-01-23,Credit Card,0
24,1066,2910.570667188599,EUR,India,2023-01-24,Credit Card,0
25,1066,4626.18965605845,USD,USA,2023-01-25,Crypto,0
26,1059,401.1744645150521,BRL,Brazil,2023-01-26,Debit Card,0
27,1001,1036.6933626961165,BRL,India,2023-01-27,Bank Transfer,0
28,1055,4161.032661584973,EUR,Nigeria,2023-01-28,Credit Card,0
29,1036,4382.435658484563,BRL,India,2023-01-29,Credit Card,0
30,1046,4835.765830115746,INR,Nigeria,2023-01-30,PayPal,0
31,1096,1406.7085341079514,USD,Nigeria,2023-01-31,Credit Card,0
32,1069,3816.2154068704826,INR,Germany,2023-02-01,Debit Card,0
33,1035,3421.929887229556,BRL,Nigeria,2023-02-02,PayPal,1
34,1009,1476.4825682319351,INR,Brazil,2023-02-03,Crypto,0
35,1059,2255.731792862279,EUR,Brazil,2023-02-04,Bank Transfer,0
36,1001,3235.0927587273436,EUR,Brazil,2023-02-05,Bank Transfer,0
37,1082,2968.5142973385846,INR,USA,2023-02-06,Debit Card,0
38,1059,2959.235043628084,NGN,Germany,2023-02-07,PayPal,0
39,1000,2912.0292720940884,INR,USA,2023-02-08,Bank Transfer,0
40,1014,4486.782962075043,BRL,Nigeria,2023-02-09,PayPal,0
41,1076,882.3122187001098,BRL,USA,2023-02-10,Credit Card,0
42,1095,3916.650889706622,INR,Germany,2023-02-11,Crypto,0
43,1086,1355.3264703267262,EUR,Germany,2023-02-12,Debit Card,0
44,1013,3890.8323009825067,EUR,India,2023-02-13,Crypto,0
45,1028,4484.570286138006,BRL,India,2023-02-14,Crypto,0
46,1035,3232.3108717742443,BRL,Nigeria,2023-02-15,Bank Transfer,0
47,1054,3580.979233849316,INR,Brazil,2023-02-16,Debit Card,0
48,1092,1406.3160725683035,USD,Nigeria,2023-02-17,Bank Transfer,0
49,1040,3094.3652520275714,NGN,Brazil,2023-02-18,Bank Transfer,0
50,1068,4713.877316691016,EUR,Brazil,2023-02-19,Crypto,0
51,1027,2504.391730740846,EUR,Nigeria,2023-02-20,Crypto,0
52,1099,661.3327287292296,INR,Brazil,2023-02-21,Crypto,0
53,1032,3111.1455607806165,BRL,USA,2023-02-22,PayPal,0
54,1009,2636.815612053268,INR,Brazil,2023-02-23,Debit Card,0
55,1041,3654.8000974487577,USD,USA,2023-02-24,Crypto,1
56,1062,4206.856447049925,BRL,India,2023-02-25,Credit Card,0
57,1024,4905.381387742209,USD,USA,2023-02-26,Credit Card,0
58,1022,2108.4287946981285,EUR,Nigeria,2023-02-27,Crypto,0
59,1080,4367.524908313881,BRL,Nigeria,2023-02-28,Bank Transfer,0
60,1096,4645.840808995828,EUR,Brazil,2023-03-01,PayPal,1
61,1045,4567.2251431701925,EUR,Nigeria,2023-03-02,Credit Card,0
62,1069,2932.3180416446367,INR,Germany,2023-03-03,PayPal,0
63,1034,3871.7879479606313,USD,USA,2023-03-04,PayPal,0
64,1066,4161.1626248903995,INR,Nigeria,2023-03-05,Crypto,0
65,1081,741.5402641657198,NGN,Germany,2023-03-06,Crypto,0
66,1000,3194.8123066122685,NGN,Nigeria,2023-03-07,Bank Transfer,0
67,1041,4427.5665325224045,BRL,USA,2023-03-08,Credit Card,0
68,1077,3229.8825906311495,USD,Nigeria,2023-03-09,Bank Transfer,0
69,1016,1674.5222725121478,BRL,India,2023-03-10,Credit Card,0
70,1036,4344.404673858291,USD,USA,2023-03-11,PayPal,0
71,1002,1520.5686703510505,NGN,Germany,2023-03-12,Debit Card,0
72,1048,2375.726213509256,USD,USA,2023-03-13,Debit Card,0
73,1029,288.0093670151623,USD,USA,2023-03-14,PayPal,0
74,1046,2220.780297142901,BRL,USA,2023-03-15,Bank Transfer,0
75,1003,267.41005407809223,BRL,Brazil,2023-03-16,Debit Card,0
76,1067,1581.1861630119247,NGN,USA,2023-03-17,Bank Transfer,0
77,1017,3536.3833995464684,INR,USA,2023-03-18,Credit Card,0
78,1056,538.1955810531074,EUR,USA,2023-03-19,Bank Transfer,0
79,1020,2952.1365444015687,NGN,Germany,2023-03-20,PayPal,0
80,1018,2543.3398587440797,USD,Germany,2023-03-21,PayPal,1
81,1002,394.0669899548404,BRL,India,2023-03-22,Crypto,0
82,1001,4088.2681135427447,EUR,Nigeria,2023-03-23,Crypto,0
83,1011,1941.2663404156456,BRL,Nigeria,2023-03-24,Crypto,0
84,1048,1797.7665878921869,INR,Brazil,2023-03-25,Debit Card,0
85,1089,4742.7786810919915,USD,Brazil,2023-03-26,Credit Card,0
86,1063,2443.637456550079,USD,USA,2023-03-27,Crypto,0
87,1002,1289.3106715049073,NGN,Nigeria,2023-03-28,Bank Transfer,0
88,1046,3629.787346981614,USD,Germany,2023-03-29,Bank Transfer,0
89,1077,194.1565887681688,USD,USA,2023-03-30,PayPal,0
90,1056,389.7558398715117,NGN,Germany,2023-03-31,Crypto,0
91,1066,4368.6992369695345,INR,Brazil,2023-04-01,Debit Card,0
92,1073,3322.4626999939946,EUR,Nigeria,2023-04-02,Debit Card,0
93,1059,3030.127814841254,BRL,India,2023-04-03,Debit Card,0
94,1089,1137.663137397522,EUR,Brazil,2023-04-04,Crypto,0
95,1085,3365.0239559574484,NGN,Germany,2023-04-05,Debit Card,0
96,1092,3393.054552100058,INR,Brazil,2023-04-06,Debit Card,0
97,1014,495.1121597024675,EUR,Nigeria,2023-04-07,Debit Card,0
98,1015,869.418645479523,EUR,Nigeria,2023-04-08,Credit Card,1
99,1068,4633.835227933164,BRL,Nigeria,2023-04-09,Crypto,0
100,1033,1586.9631590979018,BRL,Brazil,2023-04-10,Debit Card,0
