transaction_id,customer_id,transaction_amount,currency,country,transaction_date,payment_method,fraud_flag
1,1059,4134.741941765723,BRL,Brazil,2023-01-01,Crypto,0
2,1007,1295.6759476263626,USD,India,2023-01-02,Crypto,0
3,1067,4033.9089349924466,EUR,Germany,2023-01-03,Crypto,0
4,1073,1407.511927144336,NGN,India,2023-01-04,Bank Transfer,0
5,1018,3026.871351342354,INR,USA,2023-01-05,Debit Card,0
6,1053,3829.2546358175064,INR,USA,2023-01-06,Bank Transfer,0
7,1056,1236.6725590054486,BRL,Germany,2023-01-07,Credit Card,1
8,1086,652.909725814262,INR,Nigeria,2023-01-08,Crypto,0
9,1036,2900.316341119958,EUR,Germany,2023-01-09,Bank Transfer,0
10,1017,2904.7460839189234,INR,Brazil,2023-01-10,PayPal,0
11,1070,3131.413640614669,BRL,Germany,2023-01-11,Bank Transfer,0
12,1031,3023.2638489024857,USD,Brazil,2023-01-12,Credit Card,1
13,1059,1870.3192698323505,USD,USA,2023-01-13,PayPal,0
14,1077,2404.3873348435313,BRL,Germany,2023-01-14,Debit Card,0
15,1031,1639.5848769577733,INR,India,2023-01-15,PayPal,0
16,1089,4563.649056346134,INR,Germany,2023-01-16,PayPal,0
17,1003,1055.809317397942,USD,India,2023-01-17,PayPal,0
18,1029,239.5723553378104,USD,Nigeria,2023-01-18,Debit Card,0
19,1092,253.2264102733624,EUR,Brazil,2023-01-19,PayPal,0
20,1091,612.5914789485663,NGN,India,2023-01-20,Debit Card,1
21,1019,542.6141014505483,INR,Nigeria,2023-01-21,Credit Card,0
22,1027,660.4023126263847,NGN,India,2023-01-22,PayPal,0
23,1052,2383.930864122809,INR,USA,2023-01-23,Crypto,0
24,1034,4871.181065778209,USD,Brazil,2023-01-24,PayPal,0
25,1091,533.2753774510772,EUR,India,2023-01-25,PayPal,0
26,1022,3221.5102978760833,BRL,Germany,2023-01-26,PayPal,0
27,1035,4236.154740719828,BRL,Nigeria,2023-01-27,Bank Transfer,0
28,1085,4868.184770844957,USD,India,2023-01-28,Credit Card,0
29,1038,4583.19347455854,NGN,USA,2023-01-29,Credit Card,0
30,1054,2425.941130918873,INR,India,2023-01-30,Crypto,0
31,1034,2849.525506732121,EUR,USA,2023-01-31,Debit Card,0
32,1011,1705.0699509807196,NGN,India,2023-02-01,Bank Transfer,0
33,1016,3165.303090279975,BRL,Germany,2023-02-02,Credit Card,0
34,1082,2904.72735440789,NGN,Germany,2023-02-03,Bank Transfer,0
35,1001,1942.9308818832064,BRL,Brazil,2023-02-04,Bank Transfer,0
36,1042,4808.4860563038765,INR,Nigeria,2023-02-05,Credit Card,0
37,1047,4194.036386155391,INR,Nigeria,2023-02-06,Credit Card,0
38,1052,349.67650816331457,EUR,India,2023-02-07,Credit Card,0
39,1094,3608.145839569088,EUR,India,2023-02-08,PayPal,0
40,1086,4013.326123186254,NGN,Brazil,2023-02-09,PayPal,0
41,1077,2688.55095204239,INR,Brazil,2023-02-10,Bank Transfer,0
42,1076,4363.444991401163,BRL,USA,2023-02-11,Credit Card,0
43,1059,606.1422271668026,BRL,Germany,2023-02-12,Debit Card,0
44,1085,3728.2880113444903,NGN,Brazil,2023-02-13,PayPal,0
45,1099,4623.777336025826,EUR,India,2023-02-14,PayPal,0
46,1075,469.8187784473343,BRL,Brazil,2023-02-15,Credit Card,0
47,1064,2629.695965274309,INR,Brazil,2023-02-16,Credit Card,0
48,1029,3238.8411046099577,BRL,India,2023-02-17,PayPal,0
49,1070,2561.538667561105,BRL,Nigeria,2023-02-18,Bank Transfer,0
50,1047,3868.179601652513,USD,USA,2023-02-19,Debit Card,0
51,1006,4192.621516222882,NGN,Germany,2023-02-20,Credit Card,0
52,1000,2532.004600093571,INR,Brazil,2023-02-21,Debit Card,0
53,1029,4103.477086232368,BRL,Nigeria,2023-02-22,Crypto,0
54,1089,1306.4604113309283,USD,Nigeria,2023-02-23,Bank Transfer,0
55,1077,366.0857587133195,BRL,Germany,2023-02-24,Credit Card,1
56,1009,2370.6465022028065,INR,Brazil,2023-02-25,Crypto,0
57,1045,3571.3579191157096,INR,Brazil,2023-02-26,Credit Card,0
58,1052,1343.2158944136172,INR,USA,2023-02-27,Crypto,0
59,1088,3050.4494983226277,USD,Brazil,2023-02-28,Credit Card,0
60,1022,3481.9028537174895,NGN,Germany,2023-03-01,PayPal,0
61,1026,2716.023278935801,USD,Nigeria,2023-03-02,Credit Card,0
62,1096,2913.5841854732753,NGN,Brazil,2023-03-03,Bank Transfer,0
63,1014,3548.945967585387,EUR,Brazil,2023-03-04,Crypto,0
64,1052,1973.6471858541377,USD,India,2023-03-05,Crypto,0
65,1006,2682.988549264182,INR,Brazil,2023-03-06,Credit Card,0
66,1097,2787.7767899895402,EUR,Brazil,2023-03-07,Credit Card,0
67,1018,4173.762437874489,BRL,Germany,2023-03-08,PayPal,0
68,1084,4295.305981841976,EUR,Brazil,2023-03-09,Bank Transfer,0
69,1057,1547.9129693643417,INR,Nigeria,2023-03-10,PayPal,0
70,1099,3631.472511863504,EUR,Germany,2023-03-11,PayPal,0
71,1059,2251.4971091979523,USD,USA,2023-03-12,Credit Card,0
72,1074,479.4294477737947,NGN,Brazil,2023-03-13,Crypto,0
73,1026,2472.4347571296103,INR,India,2023-03-14,Crypto,0
74,1003,3430.8589171005824,USD,Brazil,2023-03-15,PayPal,0
75,1017,1946.5033419416268,INR,Nigeria,2023-03-16,Debit Card,0
76,1098,224.90543523883161,INR,India,2023-03-17,Crypto,0
77,1045,2563.4509777175367,EUR,India,2023-03-18,Credit Card,0
