transaction_id,customer_id,transaction_amount,currency,country,transaction_date,payment_method,fraud_flag
1,1046,4015.449357259576,EUR,India,2023-01-01,Debit Card,0
2,1072,1881.1468406424312,USD,Nigeria,2023-01-02,Bank Transfer,1
3,1042,25.177292602034,USD,USA,2023-01-03,Bank Transfer,0
4,1053,382.44920209786943,USD,India,2023-01-04,Crypto,0
5,1081,2307.6263908055853,BRL,Brazil,2023-01-05,Bank Transfer,0
6,1051,2753.5147285959742,USD,USA,2023-01-06,Debit Card,0
7,1080,4446.228688925884,NGN,Germany,2023-01-07,Crypto,0
8,1033,2307.3587780175503,USD,Nigeria,2023-01-08,Credit Card,0
9,1051,12.073200070133788,BRL,Nigeria,2023-01-09,Bank Transfer,0
10,1008,4691.3815400823,INR,Brazil,2023-01-10,Debit Card,0
11,1059,3384.5517639260534,USD,Germany,2023-01-11,Bank Transfer,0
12,1021,3863.7035509605516,INR,Brazil,2023-01-12,Crypto,0
13,1016,3136.869653344632,USD,Nigeria,2023-01-13,Debit Card,0
14,1053,932.5205098007146,BRL,Nigeria,2023-01-14,Bank Transfer,0
15,1046,3652.313504975447,BRL,Nigeria,2023-01-15,Debit Card,1
16,1000,4092.073189934472,INR,Brazil,2023-01-16,PayPal,0
17,1022,2365.2551565913864,USD,Nigeria,2023-01-17,Debit Card,0
18,1004,3344.0360893120046,NGN,India,2023-01-18,PayPal,0
19,1078,3496.0613870117577,BRL,Germany,2023-01-19,PayPal,0
20,1068,4252.596358860106,INR,Brazil,2023-01-20,Debit Card,0
21,1025,3791.5835005553145,INR,Brazil,2023-01-21,Debit Card,0
22,1069,1962.1374738317024,INR,USA,2023-01-22,Debit Card,0
23,1020,1068.3030303149262,EUR,India,2023-01-23,Bank Transfer,0
24,1072,252.91846983004876,BRL,Nigeria,2023-01-24,Crypto,0
25,1094,951.6236019969867,USD,Nigeria,2023-01-25,Debit Card,0
26,1016,2914.3958860303933,USD,Germany,2023-01-26,PayPal,0
27,1030,2246.5651286131088,USD,India,2023-01-27,PayPal,0
28,1094,2715.5293967694083,INR,Nigeria,2023-01-28,Credit Card,0
29,1000,3662.3684964394965,NGN,Brazil,2023-01-29,Bank Transfer,0
30,1089,1526.5438920577305,BRL,Germany,2023-01-30,Bank Transfer,0
31,1006,3552.7512762969486,NGN,Germany,2023-01-31,Debit Card,0
32,1031,2256.90359616646,INR,Brazil,2023-02-01,PayPal,0
33,1082,1786.5937454798097,EUR,Germany,2023-02-02,Crypto,0
34,1086,2225.879323743936,NGN,Nigeria,2023-02-03,Bank Transfer,0
35,1090,4557.051428738549,EUR,Brazil,2023-02-04,Debit Card,0
36,1039,248.50873077577376,NGN,Nigeria,2023-02-05,Debit Card,0
37,1043,2413.0142563109853,BRL,Brazil,2023-02-06,PayPal,0
38,1031,2209.8367558250307,EUR,Brazil,2023-02-07,Crypto,0
39,1078,857.4392851338695,USD,India,2023-02-08,Bank Transfer,0
40,1018,1851.9484522907321,USD,India,2023-02-09,Bank Transfer,0
41,1084,1792.205875866513,INR,Nigeria,2023-02-10,Credit Card,0
42,1015,3939.7906103301734,EUR,Brazil,2023-02-11,Credit Card,0
43,1015,2217.650739049955,BRL,Brazil,2023-02-12,Crypto,0
44,1003,2745.5710021562872,EUR,India,2023-02-13,Bank Transfer,0
45,1050,1577.0295883861045,INR,Nigeria,2023-02-14,PayPal,0
46,1002,1971.4379137762949,INR,Brazil,2023-02-15,PayPal,0
47,1005,4421.415665696686,INR,USA,2023-02-16,Credit Card,0
48,1064,3095.768486180339,BRL,Germany,2023-02-17,PayPal,0
49,1087,2078.122710966697,EUR,USA,2023-02-18,Credit Card,0
50,1044,2581.8406322680407,INR,India,2023-02-19,Crypto,0
51,1062,4102.174342122185,BRL,Nigeria,2023-02-20,PayPal,0
52,1013,3587.662142590035,BRL,Germany,2023-02-21,PayPal,0
53,1055,3829.70994033843,NGN,USA,2023-02-22,Debit Card,0
54,1053,1660.85136281437,BRL,Germany,2023-02-23,PayPal,0
55,1081,4155.013002488289,NGN,Germany,2023-02-24,Crypto,0
56,1094,878.4879380280079,BRL,Nigeria,2023-02-25,Credit Card,0
57,1083,2937.949102488941,EUR,USA,2023-02-26,Credit Card,0
